Origin,City1,City2,City3,City4,City5,Duration1,Duration2,Duration3,Duration4,Duration5,Connection1,Connection2,Connection3,Connection4,Connection5,Connection6,Time1,Time2,Time3,Time4,Time5,Time6,Budget1,Budget2,Budget3,Budget4,Budget5
Bhubaneswar,Kolkata,Hyderabad,Mumbai,Bengaluru,Chennai,15,13,6,6,8,Bhubaneswar-Chennai,Kolkata-Mumbai,Hyderabad-Bengaluru,Mumbai-Kolkata,Chennai-Hyderabad,Bengaluru-Bhubaneswar,5,20,15,7,10,7,6500,2000,2000,12000,9000
Shimla,Chandigarh,Ambala,Kedarnath,Chitkul,Manali,10,6,7,6,9,Shimla-Kedarnath,Chandigarh-Manali,Ambala-Chitkul,Kedarnath-Ambala,Chitkul-Chandigarh,Manali-Shimla,19,6,11,6,18,14,7500,9500,8000,4000,6000
Kaza,Leh,Jammu,Kargil,Srinagar,Manali,6,5,3,5,7,Kaza-Srinagar,Leh-Kargil,Jammu-Kaza,Kargil-Jammu,Srinagar-Leh,Kaza-Manali,5,16,17,13,13,19,3000,4000,8500,5500,7000
Jodhpur,Ahmedabad,Mount Abu,Kota,Pushkar,Udaipur,5,13,10,4,6,Jodhpur-Kota,Ahmedabad-Udaipur,Mount Abu-Pushkar,Kota-Ahmedabad,Pushkar-Jodhpur,Udaipur-Mount Abu,12,14,9,7,7,17,5000,8000,2000,7000,5500
Mysore,Ooty,Nilambur,Kochi,Goa,Mangalore,2,9,10,2,5,Mysore-Goa,Ooty-Mangalore,Nilambur-Mysore,Kochi-Nilambur,Goa-Ooty,Mangalore-Kochi,19,17,15,9,20,19,5000,2500,9000,12000,4500
Bhubaneswar,Rameswaram,Madurai,Rajapalayam,Kumbakonam,Pondicherry,9,7,8,9,6,Bhubaneswar-Kumbakonam,Rameswaram-Pondicherry,Madurai-Bhubaneswar,Rajapalayam-Madurai,Kumbakonam-Rameswaram,Pondicherry-Rajapalayam,10,14,18,9,7,9,9500,7500,2500,3000,5000
Tiruvannamalai,Dharmapuri,Tiruvallur,Tindivanam,Kadapa,Vellore,13,5,7,5,4,Tiruvannamalai-Kadapa,Dharmapuri-Vellore,Tiruvallur-Tiruvannamalai,Tindivanam-Tiruvallur,Kadapa-Dharmapuri,Vellore-Tindivanam,8,18,10,2,9,11,11000,9000,7000,4500,6000
Koraput,Jaipur,Umerkot,Dharamgarh,Bhawanipatna,Rayagada,6,12,10,7,8,Koraput-Bhawanipatna,Jaipur-Rayagada,Umerkot-Koraput,Dharamgarh-Jaipur,Bhawanipatna-Umerkot,Rayagada-Dharamgarh,19,9,14,9,20,3,7000,2500,6500,11500,5000
Baripada,Rairangpur,Simlipal,Karanjia,Soro,Balasore,2,4,8,2,3,Baripada-Soro,Rairangpur-Balasore,Simlipal-Baripada,Karanjia-Rairangpur,Soro-Simlipal,Balasore-Karanjia,13,10,3,3,7,5,9500,11000,11000,2500,4000
Keonjhar,Salua,Bhetia,Rohini,Jangalkhas,Barbil,6,6,8,3,5,Keonjhar-Jangalkhas,Salua-Barbil,Bhetia-Keonjhar,Rohini-Salua,Jangalkhas-Bhetia,Barbil-Rohini,20,20,7,17,9,19,10500,7500,2000,9500,6500
